"","model","mpg","disp","drat","qsec","am","carb"
"1","Mazda RX4",21,160,3.9,16.46,1,4
"2","Mazda RX4 Wag",21,160,3.9,17.02,1,4
"3","Datsun 710",22.8,108,3.85,18.61,1,1
"4","Hornet 4 Drive",21.4,258,3.08,19.44,0,1
"5","Hornet Sportabout",18.7,360,3.15,17.02,0,2
"6","Valiant",18.1,225,2.76,20.22,0,1
"7","Duster 360",14.3,360,3.21,15.84,0,4
"8","Merc 240D",24.4,146.7,3.69,20,0,2
"9","Merc 230",22.8,140.8,3.92,22.9,0,2
"10","Merc 280",19.2,167.6,3.92,18.3,0,4
"11","Merc 280C",17.8,167.6,3.92,18.9,0,4
"12","Merc 450SE",16.4,275.8,3.07,17.4,0,3
"13","Merc 450SL",17.3,275.8,3.07,17.6,0,3
"14","Merc 450SLC",15.2,275.8,3.07,18,0,3
"15","Cadillac Fleetwood",10.4,472,2.93,17.98,0,4
"16","Lincoln Continental",10.4,460,3,17.82,0,4
"17","Chrysler Imperial",14.7,440,3.23,17.42,0,4
"18","Fiat 128",32.4,78.7,4.08,19.47,1,1
"19","Honda Civic",30.4,75.7,4.93,18.52,1,2
"20","Toyota Corolla",33.9,71.1,4.22,19.9,1,1
"21","Toyota Corona",21.5,120.1,3.7,20.01,0,1
"22","Dodge Challenger",15.5,318,2.76,16.87,0,2
"23","AMC Javelin",15.2,304,3.15,17.3,0,2
"24","Camaro Z28",13.3,350,3.73,15.41,0,4
"25","Pontiac Firebird",19.2,400,3.08,17.05,0,2
"26","Fiat X1-9",27.3,79,4.08,18.9,1,1
"27","Porsche 914-2",26,120.3,4.43,16.7,1,2
"28","Lotus Europa",30.4,95.1,3.77,16.9,1,2
"29","Ford Pantera L",15.8,351,4.22,14.5,1,4
"30","Ferrari Dino",19.7,145,3.62,15.5,1,6
"31","Maserati Bora",15,301,3.54,14.6,1,8
"32","Volvo 142E",21.4,121,4.11,18.6,1,2
